,pred_dust_percent,speed_discrete,dust>50,dust>35,dust>25,dust>15,dust>5,collected_on_localtime,is_rev1,camera_location,camera_location_grouped,latitude,longitude,robot_name,operation_time,id,collected_on_localtime,speed_kph
32551,0.0,B:2-10,False,False,False,False,False,2021-11-02 19:37:09.274000-05:00,loamy,front-left-left,rev1_side_front,43.619855899999976,-94.1118727,loamy_735,nightime,618f30b7b8e030c81f7a6d45,2021-11-02 19:37:09.274000-05:00,5.0625
82007,0.3082275390625,B:2-10,False,False,False,False,False,2023-04-24 17:27:09.506000-05:00,hitchhiker,front-right-left,rev1_side_front,41.03313289999999,-89.995418,hitchhiker_13,daytime,649ed6f785b1361dca2dbc5c,2023-04-24 17:27:09.506000-05:00,9.59765625
19023,0.0,A:0-2,False,False,False,False,False,2023-05-03 15:50:40.588000-05:00,hitchhiker,T06,halo_side,46.25639819999999,-96.5797795,hitchhiker_121,daytime,645af21a22d2947226dd3d28,2023-05-03 15:50:40.588000-05:00,0.00390625
30298,0.0,B:2-10,False,False,False,False,False,2021-08-31 12:31:47.075000-05:00,peaty,front-center-right,rev1_front,30.878453499999974,-96.6641886,peaty_02,daytime,61392783d9fb0eaeeb167f18,2021-08-31 12:31:47.075000-05:00,5.75390625
8625,0.0,C:10-25,False,False,False,False,False,2022-03-09 13:59:51.834000-06:00,loamy,side-right-right,rev1_side_rear,39.64274449999999,-97.7363347,loamy_752,daytime,6280b408d83fa120109e7a7f,2022-03-09 13:59:51.834000-06:00,10.9140625
68254,0.0,A:0-2,False,False,False,False,False,2023-03-30 12:13:35.324000-05:00,loamy,front-left-right,rev1_side_front,40.14789459999999,-89.61000990000001,loamy_619,daytime,642602bb96ef18408875909a,2023-03-30 12:13:35.324000-05:00,0.01171875
208325,0.0,A:0-2,False,False,False,False,False,2022-07-26 21:40:47.687000-05:00,loamy,front-center-left,rev1_front,37.00724639999999,-98.6275651,loamy_733,nightime,62e2de5348e6edd56e8d553e,2022-07-26 21:40:47.687000-05:00,0.00390625
68162,0.0,B:2-10,False,False,False,False,False,2022-09-14 20:11:51.113000-05:00,loamy,front-right-right,rev1_side_front,30.904461699999988,-96.6486245,loamy_756,nightime,6326b44306fd072a369169d6,2022-09-14 20:11:51.113000-05:00,7.7890625
231198,0.0,C:10-25,False,False,False,False,False,2022-01-31 21:58:57.512000-06:00,loamy,front-left-left,rev1_side_front,32.86276479999998,-101.1863729,loamy_733,nightime,6203eadfc18a49a88a714b03,2022-01-31 21:58:57.512000-06:00,12.78125
216260,0.0,C:10-25,False,False,False,False,False,2022-10-22 19:07:16.587000-05:00,peaty,side-right-left,rev1_side_rear,41.59012339999999,-90.7893518,peaty_07,nightime,63612a690f8fe69645c2b5a7,2022-10-22 19:07:16.587000-05:00,10.11328125
